slot_index,unit_rate_p_per_kwh,standing_charge_p
0,11.37,45.0
1,10.72,45.0
2,10.17,45.0
3,9.74,45.0
4,9.42,45.0
5,9.23,45.0
6,9.17,45.0
7,9.23,45.0
8,9.42,45.0
9,9.74,45.0
10,10.17,45.0
11,10.72,45.0
12,11.37,45.0
13,12.1,45.0
14,12.92,45.0
15,13.8,45.0
16,14.72,45.0
17,15.69,45.0
18,16.67,45.0
19,17.64,45.0
20,18.61,45.0
21,19.53,45.0
22,20.42,45.0
23,21.23,45.0
24,21.97,45.0
25,22.62,45.0
26,23.16,45.0
27,23.59,45.0
28,23.91,45.0
29,24.1,45.0
30,24.17,45.0
31,24.1,45.0
32,23.91,45.0
33,23.59,45.0
34,28.99,45.0
35,28.45,45.0
36,27.8,45.0
37,27.07,45.0
38,20.42,45.0
39,19.53,45.0
40,18.61,45.0
41,17.64,45.0
42,16.67,45.0
43,15.69,45.0
44,14.72,45.0
45,13.8,45.0
46,12.92,45.0
47,12.1,45.0
